Port Name,State,Port Code,Border,Date,Measure,Value
San Ysidro,California,2504,US-Mexico Border,Aug 2016,Pedestrians,657447
San Ysidro,California,2504,US-Mexico Border,Aug 2016,Personal Vehicles,1147404
San Ysidro,California,2504,US-Mexico Border,Aug 2016,Buses,2545
San Ysidro,California,2504,US-Mexico Border,Aug 2016,Bus Passengers,5641
San Ysidro,California,2504,US-Mexico Border,Aug 2016,Personal Vehicle Passengers,2031778
San Ysidro,California,2504,US-Mexico Border,Jul 2016,Truck Containers Empty,0
San Ysidro,California,2504,US-Mexico Border,Jul 2016,Buses,2615
San Ysidro,California,2504,US-Mexico Border,Jul 2016,Pedestrians,656772
San Ysidro,California,2504,US-Mexico Border,Jul 2016,Train Passengers,0
San Ysidro,California,2504,US-Mexico Border,Jul 2016,Trucks,0
San Ysidro,California,2504,US-Mexico Border,Jul 2016,Truck Containers Loaded,0
San Ysidro,California,2504,US-Mexico Border,Jul 2016,Bus Passengers,19545
San Ysidro,California,2504,US-Mexico Border,Jul 2016,Rail Containers Loaded,0
San Ysidro,California,2504,US-Mexico Border,Jul 2016,Trains,0
San Ysidro,California,2504,US-Mexico Border,Jul 2016,Rail Containers Empty,0
San Ysidro,California,2504,US-Mexico Border,Jul 2016,Personal Vehicles,1166397
San Ysidro,California,2504,US-Mexico Border,Jul 2016,Personal Vehicle Passengers,2138861
San Ysidro,California,2504,US-Mexico Border,Jun 2016,Rail Containers Empty,0
San Ysidro,California,2504,US-Mexico Border,Jun 2016,Train Passengers,0
San Ysidro,California,2504,US-Mexico Border,Jun 2016,Truck Containers Loaded,0
San Ysidro,California,2504,US-Mexico Border,Jun 2016,Truck Containers Empty,0
San Ysidro,California,2504,US-Mexico Border,Jun 2016,Pedestrians,554824
San Ysidro,California,2504,US-Mexico Border,Jun 2016,Buses,2398
San Ysidro,California,2504,US-Mexico Border,Jun 2016,Personal Vehicles,1162087
San Ysidro,California,2504,US-Mexico Border,Jun 2016,Bus Passengers,25492
San Ysidro,California,2504,US-Mexico Border,Jun 2016,Trucks,0
San Ysidro,California,2504,US-Mexico Border,Jun 2016,Personal Vehicle Passengers,2005386
San Ysidro,California,2504,US-Mexico Border,Jun 2016,Rail Containers Loaded,0
San Ysidro,California,2504,US-Mexico Border,Jun 2016,Trains,0
San Ysidro,California,2504,US-Mexico Border,May 2016,Trucks,0
San Ysidro,California,2504,US-Mexico Border,May 2016,Truck Containers Loaded,0
San Ysidro,California,2504,US-Mexico Border,May 2016,Rail Containers Empty,0
San Ysidro,California,2504,US-Mexico Border,May 2016,Rail Containers Loaded,0
San Ysidro,California,2504,US-Mexico Border,May 2016,Trains,0
San Ysidro,California,2504,US-Mexico Border,May 2016,Train Passengers,0
San Ysidro,California,2504,US-Mexico Border,May 2016,Pedestrians,569258
